"chunk","average_score","score_sd"
1,0.857,0.0371333931776897
2,0.883,0.0371333931776897
3,0.313,0.0494525586350752
4,0.975,0.0158113883008419
5,0.994,0.0107496769977314
6,0.884,0.0164654520469713
7,0.992,0.00918936583472682
8,0.879,0.0280673792466945
9,0.989,0.0128668393770792
10,0.993,0.00674948557710554
11,0.968,0.0131656117720877
