Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
71,305,0.5,Nondum uxor est.,dandum est;
239,629,0.5,Negare durum est.,bellum peractum est.
369,355,0.5882352941176471,Parere dubitas?,"ingrata, dubitas?"
370,630,0.5416666666666667,Cur meam damnas fidem?,quo meas lacrimas feram?
417,295,0.5,non invisa est mors ista mihi.,nam mori votum est mihi.
