Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
70,618,0.5,Sed cara est viro.,"morere, si casta es, viro;"
70,665,0.5555555555555556,Sed cara est viro.,sed pars est tui:
74,105,0.5277777777777778,amor perennis coniugis castae manet.,Immitis etiam coniugi castae fuit:
168,397,0.5,levis est dea.,talis est.
395,633,0.5,regnat mundo tristis Erinys.,regna me norunt tria.
