Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
71,87,0.5,Nondum uxor est.,ubique mors est.
178,87,0.5,Iussisque nostris pareant.,ubique mors est.
179,181,0.5882352941176471,Iusta impera.,tu tantum impera:
239,288,0.5555555555555556,Negare durum est.,dotale bellum est.
355,200,0.75,Et hoc sat est?,nec hoc sat est:
359,156,0.5277777777777778,Cecidere motus impio ferro duces.,genitorem adortus impia stravi nece.
370,265,0.5,Cur meam damnas fidem?,an times matris fidem?
376,309,0.5185185185185186,Quis regere dementes valet?,quis tenet mentem furor?
