Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
71,670,0.5,Nondum uxor est.,hoc unum meum est.
154,482,0.5217391304347826,castra confestim petam.,astra promittit pater.
183,257,0.5,HOC absit nefas.,explebo nefas.
242,28,0.5,Fama sed victum feret.,levia sed nimium queror;
272,677,0.5,graviora tuli;,"si morior, tuli."
337,269,0.5,Quid fera frustra bella movetis?,quid deos frustra precor?
358,612,0.5185185185185186,haec vindicta debetur mihi?,Saepe vindicta obfuit.
