Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
78,80,0.5833333333333333,«it licet forma eminens.,Sint licet terra edita.
172,428,0.5,Invisum opprimit.,Vnda flammas opprimat.
174,90,0.5,Melius fides.,"Cui
sim vides."
244,80,0.5,"Sit licet, multos notat.",Sint licet terra edita.
369,91,0.7222222222222222,Parere dubitas?,Profugere dubitas?
373,80,0.5217391304347826,Si scelera cepit.,Sint licet terra edita.
375,193,0.5,Populi furor.,exundat furor.
