Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
221,93,1.0,scelus occupandum est,scelus occupandum est
746,419,0.7693894037013921,peractum est,habet peractum est
837,419,0.6146260676737076,habet peractum est quas petis poenas dedit,habet peractum est
910,397,0.7573590627862745,heu quid hoc,eheu quid hoc est
