Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
220,383,0.6088172625809264,quid stupes segnis furor,anime quid segnis stupes
270,303,0.7798164720336912,en locus ab omni tutus arbitrio vacat,en locus ab omni liber arbitrio vacat
829,295,0.7776136351518886,quam bene excideras dolor,quam bene excideram mihi
