Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
220,383,0.7595163223943865,"quid stupes, segnis furor?","anime, quid segnis stupes?"
270,303,0.822494381087913,En locus ab omni tutus arbitrio vacat.,En locus ab omni liber arbitrio vacat.
449,42,0.6289407826125908,"Quid, anime, cessas?",anime?
450,383,0.6534973722464693,quid stupes?,"anime, quid segnis stupes?"
455,332,0.7976297942569331,"sic, sic agendum est.",sic est:
910,609,0.6039869581907299,Heu quid hoc?,heu me.
1053,42,0.6080399823544009,"quid, anime, trepidas?",anime?
