Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
4,314,0.6676471081359661,numquid timemur,timemur
274,128,0.6317309680898111,altrix fatebor,fatebor
737,311,1.0,excidimus tibi,excidimus tibi
