Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
15,654,0.8288847101974782,inveniam viam,mortis inveniam viam
380,585,0.8124341388925203,nescio quod animus grande praesagit malum,nescio quod mihi nescio quod animus grande praesagit malum ubi es parens
455,636,1.0000000000000002,sic sic agendum est,sic sic agendum est
510,515,0.810187092645583,misera pergis,quo misera pergis
1014,324,0.807778789301791,quid diem questu tero,cur diem questu tero
1055,259,0.6398913023955324,complectere ossa,complectere aras
