Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
220,383,0.6114579498452415,quid stupes segnis furor,anime quid segnis stupes
270,303,0.781033650135433,en locus ab omni tutus arbitrio vacat,en locus ab omni liber arbitrio vacat
829,295,0.778847801274781,quam bene excideras dolor,quam bene excideram mihi
