Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
144,473,0.7503386464443398,quid hoc,sed quid hoc
730,498,0.7918705486057483,nunc odia ponis,sic odia ponis
815,473,0.7503386464443398,quid hoc,sed quid hoc
824,473,0.7503386464443398,quid hoc,sed quid hoc
