"chunk","average_score","score_sd"
1,0.855,0.0380788655293196
2,0.77,0.0262466929133727
3,0.13,0.0323178657161089
4,0.935,0.0232139804619735
5,0.925,0.0392286743197994
6,0.578,0.0364539283053128
7,0.936,0.0271620650499511
8,0.931,0.0179195734076208
9,0.991,0.00994428926011754
10,0.995,0.00849836585598798
11,0.884,0.0356526452189891
