Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
922,1169,0.7142857142857143,"Fortuna dedit,","Fortuna fidem,"
1003,255,0.6111111111111112,"et te. genitor,","Aderitque genitor,"
