Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
760,671,0.6136363636363636,quatit ossa et artus horridus nostros tremor,Et ossa et artus gelidus invasit tremor;
959,1012,0.6451612903225806,"Regitur fatis mortale genus,","quicquid patimur mortale genus,"
