Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
142,145,0.6216216216216216,"Falsa est de geminis fabula noctibus,",nulla est Ioniis fabula navibus.
649,839,0.6071428571428572,numquam cesset curvus arator,"nondum fessis bubus arator,"
904,206,0.6111111111111112,"mortem occupari,",positum occupanti.
914,467,0.6470588235294117,Vitam relinques?,"Gnatis relinques,"
1423,530,0.6111111111111112,cervice tota pulset et quicquid fuit,cervice tota pugnat et gemitu vocat
