Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
318,875,0.6153846153846154,nata negavit.,natura tegat.
474,1076,0.6190476190476191,Quicquid exprimitur,Quicquid e natis tuis
475,784,0.7272727272727273,grave est.,gradus est.
