Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
440,1297,0.7058823529411764,Perimes maritum?,"Perimes parentem,"
763,1177,0.9523809523809523,Nescio quod animus grande praesagit malum.,"nescio quod animus grande praesagit malum,"
1008,1039,0.7407407407407407,"Parce iam, mater, precor,","Parce iam, coniunx, precor,"
1265,247,0.7105263157894737,astris ab ipsis detulit Stymphalidas ?,petit ab ipsis nubibus Stymphalidas ?
1717,59,0.7948717948717949,"qualis per urbes duxit Argolicas canem,",atrum per urbes ducit Argolicas canem.
1835,1167,0.8888888888888888,"quis me locus, quae regio, quae mundi plaga","Quis hic locus, quae regio, quae mundi plaga?"
