Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
441,252,0.75,Paelicis certe meae.,Paelicis careo metu.
498,614,0.868421052631579,En locus ab omni tutus arbitrio vacat.,En locus ab omni liber arbitrio vacat.
555,206,0.6388888888888888,qui certa tenera tela dimittit manu.,proterva tenera tela molitur manu
820,1198,0.6153846153846154,"delubra vasto trepida mugitu replet,","Daedalea vasto claustra mugitu replens,"
950,257,0.6341463414634146,Per has aniles ecce te supplex comas,Per has senectae splendidas supplex comas
1026,1019,0.6,patet ecce plenum pectus aerumnis: feri.,non imparatum pectus aerumnis fero.
1947,984,0.6206896551724138,cum stelligeri vector Olympi,"tuque igniferi rector Olympi,"
