Disputed Line Index,Senecan Line Index,Similarity,Disputed Line,Senecan Line
60,1297,0.7058823529411764,"flere parentem,","Perimes parentem,"
922,1310,0.6666666666666667,"Fortuna dedit,","fortuna dextra,"
973,1128,0.6666666666666667,"pignora pacis,","pectora palmis,"
978,1133,0.7333333333333334,natisque ferum,vastisque ferox
