Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
60,646,0.6,"flere parentem,","luctu parentes,"
306,601,0.6,ne servitium paterere grave et,in servitutem cadere de regno grave est.
