Source,Target,Weight,Type
luc_phars_1,luc_phars_2,546,undirected
luc_phars_1,luc_phars_3,598,undirected
luc_phars_1,luc_phars_4,16,undirected
luc_phars_1,luc_phars_5,5,undirected
luc_phars_1,luc_phars_6,14,undirected
luc_phars_1,luc_phars_7,413,undirected
luc_phars_10,luc_phars_5,494,undirected
luc_phars_10,luc_phars_6,3,undirected
luc_phars_10,luc_phars_7,6,undirected
luc_phars_10,luc_phars_8,536,undirected
luc_phars_10,luc_phars_9,419,undirected
luc_phars_2,luc_phars_1,546,undirected
luc_phars_2,luc_phars_3,697,undirected
luc_phars_2,luc_phars_4,400,undirected
luc_phars_2,luc_phars_5,745,undirected
luc_phars_2,luc_phars_7,719,undirected
luc_phars_2,luc_phars_8,50,undirected
luc_phars_2,luc_phars_9,4,undirected
luc_phars_3,luc_phars_1,598,undirected
luc_phars_3,luc_phars_2,697,undirected
luc_phars_3,luc_phars_4,1172,undirected
luc_phars_3,luc_phars_5,141,undirected
luc_phars_3,luc_phars_6,87,undirected
luc_phars_3,luc_phars_7,5,undirected
luc_phars_3,luc_phars_9,3,undirected
luc_phars_4,luc_phars_1,16,undirected
luc_phars_4,luc_phars_2,400,undirected
luc_phars_4,luc_phars_3,1172,undirected
luc_phars_4,luc_phars_5,525,undirected
luc_phars_4,luc_phars_6,394,undirected
luc_phars_4,luc_phars_7,74,undirected
luc_phars_4,luc_phars_9,9,undirected
luc_phars_5,luc_phars_1,5,undirected
luc_phars_5,luc_phars_10,494,undirected
luc_phars_5,luc_phars_2,745,undirected
luc_phars_5,luc_phars_3,141,undirected
luc_phars_5,luc_phars_4,525,undirected
luc_phars_5,luc_phars_6,8,undirected
luc_phars_5,luc_phars_7,49,undirected
luc_phars_5,luc_phars_8,940,undirected
luc_phars_5,luc_phars_9,111,undirected
luc_phars_6,luc_phars_1,14,undirected
luc_phars_6,luc_phars_10,3,undirected
luc_phars_6,luc_phars_3,87,undirected
luc_phars_6,luc_phars_4,394,undirected
luc_phars_6,luc_phars_5,8,undirected
luc_phars_6,luc_phars_7,442,undirected
luc_phars_6,luc_phars_9,757,undirected
luc_phars_7,luc_phars_1,413,undirected
luc_phars_7,luc_phars_10,6,undirected
luc_phars_7,luc_phars_2,719,undirected
luc_phars_7,luc_phars_3,5,undirected
luc_phars_7,luc_phars_4,74,undirected
luc_phars_7,luc_phars_5,49,undirected
luc_phars_7,luc_phars_6,442,undirected
luc_phars_7,luc_phars_8,253,undirected
luc_phars_7,luc_phars_9,2,undirected
luc_phars_8,luc_phars_10,536,undirected
luc_phars_8,luc_phars_2,50,undirected
luc_phars_8,luc_phars_5,940,undirected
luc_phars_8,luc_phars_7,253,undirected
luc_phars_8,luc_phars_9,1123,undirected
luc_phars_9,luc_phars_10,419,undirected
luc_phars_9,luc_phars_2,4,undirected
luc_phars_9,luc_phars_3,3,undirected
luc_phars_9,luc_phars_4,9,undirected
luc_phars_9,luc_phars_5,111,undirected
luc_phars_9,luc_phars_6,757,undirected
luc_phars_9,luc_phars_7,2,undirected
luc_phars_9,luc_phars_8,1123,undirected
sen_ag,sen_her_f,50,undirected
sen_ag,sen_med,30,undirected
sen_ag,sen_oct,206,undirected
sen_ag,sen_oed,704,undirected
sen_ag,sen_phaed,127,undirected
sen_ag,sen_tro,862,undirected
sen_her_f,sen_ag,50,undirected
sen_her_f,sen_her_o,1164,undirected
sen_her_f,sen_med,48,undirected
sen_her_f,sen_oct,145,undirected
sen_her_f,sen_oed,436,undirected
sen_her_f,sen_phaed,618,undirected
sen_her_f,sen_phoen,8,undirected
sen_her_f,sen_thy,111,undirected
sen_her_f,sen_tro,404,undirected
sen_her_o,sen_her_f,1164,undirected
sen_her_o,sen_med,505,undirected
sen_her_o,sen_oct,4,undirected
sen_her_o,sen_oed,59,undirected
sen_her_o,sen_phaed,5,undirected
sen_her_o,sen_phoen,222,undirected
sen_her_o,sen_thy,132,undirected
sen_her_o,sen_tro,934,undirected
sen_med,sen_ag,30,undirected
sen_med,sen_her_f,48,undirected
sen_med,sen_her_o,505,undirected
sen_med,sen_oct,6,undirected
sen_med,sen_oed,20,undirected
sen_med,sen_phaed,694,undirected
sen_med,sen_phoen,705,undirected
sen_med,sen_thy,331,undirected
sen_med,sen_tro,12,undirected
sen_oct,sen_ag,206,undirected
sen_oct,sen_her_f,145,undirected
sen_oct,sen_her_o,4,undirected
sen_oct,sen_med,6,undirected
sen_oct,sen_oed,258,undirected
sen_oct,sen_phaed,176,undirected
sen_oct,sen_phoen,1,undirected
sen_oct,sen_tro,386,undirected
sen_oed,sen_ag,704,undirected
sen_oed,sen_her_f,436,undirected
sen_oed,sen_her_o,59,undirected
sen_oed,sen_med,20,undirected
sen_oed,sen_oct,258,undirected
sen_oed,sen_phaed,1155,undirected
sen_oed,sen_thy,71,undirected
sen_oed,sen_tro,60,undirected
sen_phaed,sen_ag,127,undirected
sen_phaed,sen_her_f,618,undirected
sen_phaed,sen_her_o,5,undirected
sen_phaed,sen_med,694,undirected
sen_phaed,sen_oct,176,undirected
sen_phaed,sen_oed,1155,undirected
sen_phaed,sen_thy,10,undirected
sen_phaed,sen_tro,17,undirected
sen_phoen,sen_her_f,8,undirected
sen_phoen,sen_her_o,222,undirected
sen_phoen,sen_med,705,undirected
sen_phoen,sen_oct,1,undirected
sen_phoen,sen_thy,982,undirected
sen_phoen,sen_tro,23,undirected
sen_thy,sen_her_f,111,undirected
sen_thy,sen_her_o,132,undirected
sen_thy,sen_med,331,undirected
sen_thy,sen_oed,71,undirected
sen_thy,sen_phaed,10,undirected
sen_thy,sen_phoen,982,undirected
sen_thy,sen_tro,79,undirected
sen_tro,sen_ag,862,undirected
sen_tro,sen_her_f,404,undirected
sen_tro,sen_her_o,934,undirected
sen_tro,sen_med,12,undirected
sen_tro,sen_oct,386,undirected
sen_tro,sen_oed,60,undirected
sen_tro,sen_phaed,17,undirected
sen_tro,sen_phoen,23,undirected
sen_tro,sen_thy,79,undirected
stat_achill,stat_silv_3,139,undirected
stat_achill,stat_silv_5,113,undirected
stat_achill,stat_theb_11,52,undirected
stat_achill,stat_theb_12,50,undirected
stat_achill,stat_theb_4,63,undirected
